timestamp,open,high,low,close,volume
2013-08-30,51.5700,53.2000,49.3000,50.2100,10528500
2013-08-23,47.7200,56.0800,47.3100,51.6200,17839100
2013-08-16,48.5500,49.6600,47.0400,47.5800,7088300
2013-08-09,50.3200,51.1400,47.1800,48.9700,14576900
2013-08-02,45.6700,51.3600,44.5700,50.3900,17474300
2013-07-26,43.5000,45.8500,42.3300,45.8000,9978100
2013-07-19,43.1700,44.4500,42.4700,43.4600,10030000
2013-07-12,43.0800,43.3100,42.1100,43.1700,9934600
2013-07-05,42.0000,43.0100,41.6600,42.9900,6229800
2013-06-28,40.3000,42.8400,39.4600,42.0300,15554000
2013-06-21,39.0200,41.5300,37.9300,40.7800,20639400
2013-06-14,36.7500,39.7700,34.8400,39.0100,26357100
2013-06-07,33.1800,37.4700,33.1600,36.7500,26942500
2013-05-31,32.8100,33.8500,31.4700,33.1600,14611200
2013-05-24,39.7600,39.8000,30.9400,32.1100,40043300
2013-05-17,38.2600,39.8700,37.8200,39.7600,13348500
2013-05-10,36.9900,38.5700,36.5800,38.3800,14083500
2013-05-03,34.6600,37.2300,34.3300,37.1500,12170000
2013-04-26,32.7300,34.9700,31.8350,34.6200,13973500
2013-04-19,32.0000,33.2600,31.2700,32.7300,18014600
2013-04-12,30.0400,32.3300,29.5000,32.0200,17357700
2013-04-05,28.0000,31.1000,27.9300,29.9600,22917000
2013-03-28,25.8100,28.6700,25.2050,27.9700,18589900
2013-03-22,25.1700,25.8000,24.8900,25.6600,7674600
2013-03-15,24.6600,25.8600,24.3600,25.4500,9346000
2013-03-08,23.9600,24.9800,23.3600,24.6700,11643700
2013-03-01,25.0900,25.6596,23.7800,24.0500,13895500
2013-02-22,25.2400,25.9900,24.1000,24.8200,12180800
2013-02-15,26.1600,26.5800,25.1350,25.3700,13684400
2013-02-08,24.6000,27.0100,23.7500,26.0600,26171300
2013-02-01,23.7500,24.8100,22.5700,24.6900,15844100
2013-01-25,23.3500,23.7800,22.9900,23.7100,8010700
2013-01-18,23.1900,23.7657,22.7500,23.2800,13718300
2013-01-11,24.6600,24.9200,22.3000,23.2500,28614400
2013-01-04,24.3900,25.8700,23.9200,24.8000,21679300
2012-12-28,25.5900,26.1300,23.9200,24.5300,6499200
2012-12-21,27.5900,28.0000,25.3100,25.5700,17944000
2012-12-14,27.3400,28.3500,26.9900,27.5100,14866600
2012-12-07,26.4500,27.4200,25.4000,27.3000,13763200
2012-11-30,26.8300,27.5197,25.8500,26.2500,14434300
2012-11-23,25.8700,28.0000,25.3000,27.0700,17064100
2012-11-16,22.1400,25.6200,22.1300,25.5500,30773600
2012-11-09,23.8400,24.2900,21.4100,22.1100,11690900
2012-11-02,23.0500,23.9400,22.7500,23.8100,5824300
2012-10-26,23.0600,23.9900,22.5800,23.0000,11752900
2012-10-19,22.9100,23.5700,22.6800,23.1200,9363900
2012-10-12,23.0000,24.4900,22.5900,22.7700,17765800
2012-10-05,21.4200,23.4750,21.0500,23.0800,15144100
2012-09-28,22.3800,22.3900,20.5000,21.0000,16290200
2012-09-21,23.0800,23.0800,22.1550,22.3000,13410200
2012-09-14,21.5500,23.7900,21.3000,23.1500,15431900
2012-09-07,19.8500,21.8200,19.8300,21.6600,18237700
2012-08-31,18.5000,19.3500,17.9400,19.0800,15031400
2012-08-24,18.7700,19.5900,18.2900,18.4200,22112600
2012-08-17,18.5200,18.8500,16.6000,18.5700,32366900
2012-08-10,16.0900,17.7400,15.8750,17.7400,13386400
2012-08-03,16.2000,18.3900,15.3200,15.9000,17377600
2012-07-27,16.1300,16.3700,15.4699,16.1400,12951200
2012-07-20,16.7300,17.1500,16.2500,16.3000,10971800
2012-07-13,18.2800,18.5000,16.7200,16.8300,12208300
2012-07-06,18.4400,18.6900,17.8600,18.1300,6631400
2012-06-29,17.5400,18.4500,17.1000,18.3600,12344100
2012-06-22,17.8400,18.6600,17.4800,17.6900,15840200
2012-06-15,19.1800,19.4291,17.1100,17.8300,27221900
2012-06-08,19.1800,19.7800,18.6800,19.0300,15759700
2012-06-01,19.6000,21.1400,18.6600,19.2000,15942100
2012-05-25,19.0800,19.7400,18.6800,19.5200,21738900
2012-05-18,20.1500,21.2100,18.1300,19.0700,26604200
2012-05-11,21.7000,22.0000,20.1700,20.3300,18983000
2012-05-04,22.6600,23.0800,21.8300,21.8300,10727700
2012-04-27,22.1700,22.7899,21.8350,22.6800,12849600
2012-04-20,21.3000,22.7100,20.9700,22.3800,17955200
2012-04-13,21.5500,22.0800,20.9400,21.2300,14742800
2012-04-05,21.7400,22.7400,21.6300,21.7300,14592000
2012-03-30,23.8500,24.0800,21.8200,21.8400,22412600
2012-03-23,23.6400,25.7700,22.9500,23.6200,26742300
2012-03-16,23.9000,24.0700,23.3000,23.5600,15499100
2012-03-09,23.8700,24.5500,23.5600,23.9000,17198800
2012-03-02,22.7200,24.2700,22.6900,23.8700,16327100
2012-02-24,23.3300,23.7500,22.7100,22.7300,8963900
